"Step","E2E SAE - val_loss","E2E SAE - val_loss__MIN","E2E SAE - val_loss__MAX","5% KL Fine-tune SAE - val_loss","5% KL Fine-tune SAE - val_loss__MIN","5% KL Fine-tune SAE - val_loss__MAX"
"0","5.712298469875339","5.712298469875339","5.712298469875339","5.712298469875339","5.712298469875339","5.712298469875339"
"9992","3.6006586695644724","3.6006586695644724","3.6006586695644724","3.9938449586304086","3.9938449586304086","3.9938449586304086"
"19992","3.504653508977978","3.504653508977978","3.504653508977978","3.7330692099939227","3.7330692099939227","3.7330692099939227"
"29992","3.449574916609234","3.449574916609234","3.449574916609234","3.633591498664848","3.633591498664848","3.633591498664848"
"39992","3.4113835854076435","3.4113835854076435","3.4113835854076435","3.569902113052571","3.569902113052571","3.569902113052571"
"49992","3.3825355469265395","3.3825355469265395","3.3825355469265395","3.521225246948742","3.521225246948742","3.521225246948742"
"59992","3.3650406649071214","3.3650406649071214","3.3650406649071214","3.487826537207425","3.487826537207425","3.487826537207425"
"69992","3.346997484580033","3.346997484580033","3.346997484580033","3.4542265563074617","3.4542265563074617","3.4542265563074617"
"79992","3.3373197420836713","3.3373197420836713","3.3373197420836713","3.4357812353385997","3.4357812353385997","3.4357812353385997"
"89992","3.317894900467403","3.317894900467403","3.317894900467403","3.409171898997062","3.409171898997062","3.409171898997062"
"99992","3.3108986719847944","3.3108986719847944","3.3108986719847944","3.393912000080214","3.393912000080214","3.393912000080214"
"109992","3.3000082862291755","3.3000082862291755","3.3000082862291755","3.378444175271197","3.378444175271197","3.378444175271197"
"119992","3.294623903998821","3.294623903998821","3.294623903998821","3.365992176130094","3.365992176130094","3.365992176130094"
"129992","3.2874570649380326","3.2874570649380326","3.2874570649380326","3.3556513996182833","3.3556513996182833","3.3556513996182833"
"139992","3.292823832989227","3.292823832989227","3.292823832989227","3.361430506379236","3.361430506379236","3.361430506379236"
"149992","3.2768871132646638","3.2768871132646638","3.2768871132646638","3.3397712531816994","3.3397712531816994","3.3397712531816994"
"159992","3.2725054985913187","3.2725054985913187","3.2725054985913187","3.3344877134692097","3.3344877134692097","3.3344877134692097"
"169992","3.266416054787143","3.266416054787143","3.266416054787143","3.3264856987624234","3.3264856987624234","3.3264856987624234"
"179992","3.2632904609125735","3.2632904609125735","3.2632904609125735","3.3210702357297057","3.3210702357297057","3.3210702357297057"
"189992","3.259269665549209","3.259269665549209","3.259269665549209","3.3162517557368676","3.3162517557368676","3.3162517557368676"
"199992","3.256003150920419","3.256003150920419","3.256003150920419","3.311126275584788","3.311126275584788","3.311126275584788"
"209992","3.2548402802849012","3.2548402802849012","3.2548402802849012","3.3060694629118657","3.3060694629118657","3.3060694629118657"
"219992","3.249426268262287","3.249426268262287","3.249426268262287","3.3020232062988906","3.3020232062988906","3.3020232062988906"
"229992","3.2485472416560506","3.2485472416560506","3.2485472416560506","3.299113252145851","3.299113252145851","3.299113252145851"
"239992","3.2431734669782","3.2431734669782","3.2431734669782","3.2954029797775597","3.2954029797775597","3.2954029797775597"
"249992","3.2434875791856186","3.2434875791856186","3.2434875791856186","3.2939759120726415","3.2939759120726415","3.2939759120726415"
"259992","3.23850599550542","3.23850599550542","3.23850599550542","3.288856939747243","3.288856939747243","3.288856939747243"
"269992","3.237251313950413","3.237251313950413","3.237251313950413","3.2875062811704105","3.2875062811704105","3.2875062811704105"
"279992","3.2354318951633108","3.2354318951633108","3.2354318951633108","3.283511018313795","3.283511018313795","3.283511018313795"
"289992","3.232533052731439","3.232533052731439","3.232533052731439","3.2807002858227325","3.2807002858227325","3.2807002858227325"
"299992","3.229544324787027","3.229544324787027","3.229544324787027","3.2787064071077405","3.2787064071077405","3.2787064071077405"
"309992","3.2285660857920027","3.2285660857920027","3.2285660857920027","3.2760688406906207","3.2760688406906207","3.2760688406906207"
"319992","3.2400789612269327","3.2400789612269327","3.2400789612269327","3.293268685453136","3.293268685453136","3.293268685453136"
"329992","3.2227174530497837","3.2227174530497837","3.2227174530497837","3.2735908072948945","3.2735908072948945","3.2735908072948945"
"339992","3.2227056756112322","3.2227056756112322","3.2227056756112322","3.2728789943511556","3.2728789943511556","3.2728789943511556"
"349992","3.2203167351143875","3.2203167351143875","3.2203167351143875","3.2690286572904403","3.2690286572904403","3.2690286572904403"
"359992","3.218783194113412","3.218783194113412","3.218783194113412","3.268348866621816","3.268348866621816","3.268348866621816"
"369992","3.2152080531008047","3.2152080531008047","3.2152080531008047","3.265875983262623","3.265875983262623","3.265875983262623"
"379992","3.2141929775811997","3.2141929775811997","3.2141929775811997","3.2649083269289108","3.2649083269289108","3.2649083269289108"
"389992","3.2131307322756903","3.2131307322756903","3.2131307322756903","3.2637264272207616","3.2637264272207616","3.2637264272207616"
"399992","3.2125141315596863","3.2125141315596863","3.2125141315596863","3.2624586719329427","3.2624586719329427","3.2624586719329427"
"409992","3.2102271204961115","3.2102271204961115","3.2102271204961115","3.2602809473582397","3.2602809473582397","3.2602809473582397"
"419992","3.2102913807700086","3.2102913807700086","3.2102913807700086","3.2611408599689526","3.2611408599689526","3.2611408599689526"
"429992","3.20793078450854","3.20793078450854","3.20793078450854","3.258375565617697","3.258375565617697","3.258375565617697"
"439992","3.2064890841988727","3.2064890841988727","3.2064890841988727","3.2574252848005343","3.2574252848005343","3.2574252848005343"
"449992","3.2089772424531935","3.2089772424531935","3.2089772424531935","3.2583118617351614","3.2583118617351614","3.2583118617351614"
"459992","3.2050762684098775","3.2050762684098775","3.2050762684098775","3.2549310726177483","3.2549310726177483","3.2549310726177483"
"469992","3.2022254054597603","3.2022254054597603","3.2022254054597603","3.2521432258699665","3.2521432258699665","3.2521432258699665"
"475000","","","","3.2516180646578143","3.2516180646578143","3.2516180646578143"
"477000","","","","3.2236522085957056","3.2236522085957056","3.2236522085957056"
"479000","","","","3.2142302162693612","3.2142302162693612","3.2142302162693612"
"479992","3.202322496240434","3.202322496240434","3.202322496240434","","",""
"481000","","","","3.212239856485701","3.212239856485701","3.212239856485701"
"483000","","","","3.2066795960175467","3.2066795960175467","3.2066795960175467"
"485000","","","","3.206003184206288","3.206003184206288","3.206003184206288"
"487000","","","","3.2025158202757975","3.2025158202757975","3.2025158202757975"
"489000","","","","3.2013632360475945","3.2013632360475945","3.2013632360475945"
"489992","3.2010875592578274","3.2010875592578274","3.2010875592578274","","",""
"491000","","","","3.199898373263153","3.199898373263153","3.199898373263153"
"493000","","","","3.1978889839187983","3.1978889839187983","3.1978889839187983"
"495000","","","","3.198946607271505","3.198946607271505","3.198946607271505"
"497000","","","","3.1956043048183163","3.1956043048183163","3.1956043048183163"
"499000","","","","3.1944315367613747","3.1944315367613747","3.1944315367613747"
"499992","3.1991007803894482","3.1991007803894482","3.1991007803894482","","",""
"500000","3.1991007803894482","3.1991007803894482","3.1991007803894482","3.194689097643631","3.194689097643631","3.194689097643631"