"Step","layer_12_rank_64_sae_lora - val_loss","layer_12_rank_64_sae_lora - val_loss__MIN","layer_12_rank_64_sae_lora - val_loss__MAX","layer_12_rank_2_sae_lora - val_loss","layer_12_rank_2_sae_lora - val_loss__MIN","layer_12_rank_2_sae_lora - val_loss__MAX","layer_12_rank_16_sae_full_finetune - val_loss","layer_12_rank_16_sae_full_finetune - val_loss__MIN","layer_12_rank_16_sae_full_finetune - val_loss__MAX"
"0","2.061123745102233","2.061123745102233","2.061123745102233","2.061123745102233","2.061123745102233","2.061123745102233","2.0609529882272897","2.0609529882272897","2.0609529882272897"
"1","2.0419564270314323","2.0419564270314323","2.0419564270314323","2.0423152893324104","2.0423152893324104","2.0423152893324104","2.03739633360075","2.03739633360075","2.03739633360075"
"2","2.039251200252326","2.039251200252326","2.039251200252326","2.0398148993752754","2.0398148993752754","2.0398148993752754","2.0342303059362217","2.0342303059362217","2.0342303059362217"
"3","2.038198005274594","2.038198005274594","2.038198005274594","2.038712238338123","2.038712238338123","2.038712238338123","2.0330540002795545","2.0330540002795545","2.0330540002795545"
"4","2.0374961538104954","2.0374961538104954","2.0374961538104954","2.0379866464721266","2.0379866464721266","2.0379866464721266","2.03217247637902","2.03217247637902","2.03217247637902"
"5","2.0372611833326406","2.0372611833326406","2.0372611833326406","2.0379323833674468","2.0379323833674468","2.0379323833674468","2.0303101216270347","2.0303101216270347","2.0303101216270347"
"6","2.037136153286531","2.037136153286531","2.037136153286531","2.0380586418061077","2.0380586418061077","2.0380586418061077","2.030094868878137","2.030094868878137","2.030094868878137"
"7","2.0360204936171993","2.0360204936171993","2.0360204936171993","2.0372030854591205","2.0372030854591205","2.0372030854591205","2.0286629265260063","2.0286629265260063","2.0286629265260063"
"8","2.035503588227923","2.035503588227923","2.035503588227923","2.0366706626076048","2.0366706626076048","2.0366706626076048","2.027940556361219","2.027940556361219","2.027940556361219"
"9","2.0348184752366683","2.0348184752366683","2.0348184752366683","2.0363722934693618","2.0363722934693618","2.0363722934693618","2.0270517127418715","2.0270517127418715","2.0270517127418715"
"10","2.034143708074349","2.034143708074349","2.034143708074349","2.0361374425668433","2.0361374425668433","2.0361374425668433","2.0265928386055703","2.0265928386055703","2.0265928386055703"
"11","2.034398187634401","2.034398187634401","2.034398187634401","2.0363886079378237","2.0363886079378237","2.0363886079378237","2.026735922209194","2.026735922209194","2.026735922209194"
"12","2.034107558192836","2.034107558192836","2.034107558192836","2.036074702485923","2.036074702485923","2.036074702485923","2.0262137406192027","2.0262137406192027","2.0262137406192027"
"13","2.03416523834578","2.03416523834578","2.03416523834578","2.036381948140651","2.036381948140651","2.036381948140651","2.027052043892344","2.027052043892344","2.027052043892344"
"14","2.034033021638923","2.034033021638923","2.034033021638923","2.0365906578613524","2.0365906578613524","2.0365906578613524","2.024933454507205","2.024933454507205","2.024933454507205"
"15","2.0333489997116057","2.0333489997116057","2.0333489997116057","2.0361260962705896","2.0361260962705896","2.0361260962705896","2.0247806210600854","2.0247806210600854","2.0247806210600854"